PLOT_ID,CENTER_LON,CENTER_LAT,SIZE_M,SHAPE,FLAGGED,ANALYSES,SAMPLE_POINTS,USER_ID,ANALYSIS_DURATION,COLLECTION_TIME,PL_LONGITUDE,PL_LATITUDE,PL_PLOTID,PL_MAPID,PL_CLASS,2016 COVER:PRIMARY TREE,2016 COVER:SECONDARY TREE,2016 COVER:PLANTATION TREE,2016 COVER:MANGROVE,2016 COVER:HERBACEOUS VEGETATION,2016 COVER:SHRUB VEGETATION,2016 COVER:PARAMO VEGETATION,2016 COVER:CROPS,2016 COVER:NATURAL WATER,2016 COVER:ARTIFICIAL WATER,2016 COVER:WETLAND VEGETATION,2016 COVER:HOUSING STRUCTURE,2016 COVER:INFRASTRUCTURE,2016 COVER:ROADS AND LOTS,2016 COVER:SETTLEMENT VEGETATION,2016 COVER:BARE GROUND,2016 COVER:SNOW/ICE,2016 COVER:OTHER,2016 COVER:CLOUDS/UNINTERPRETABLE,2014 COVER:PRIMARY TREE,2014 COVER:SECONDARY TREE,2014 COVER:PLANTATION TREE,2014 COVER:MANGROVE,2014 COVER:HERBACEOUS VEGETATION,2014 COVER:SHRUB VEGETATION,2014 COVER:PARAMO VEGETATION,2014 COVER:CROPS,2014 COVER:NATURAL WATER,2014 COVER:ARTIFICIAL WATER,2014 COVER:WETLAND VEGETATION,2014 COVER:HOUSING STRUCTURE,2014 COVER:INFRASTRUCTURE,2014 COVER:ROADS AND LOTS,2014 COVER:SETTLEMENT VEGETATION,2014 COVER:BARE GROUND,2014 COVER:SNOW/ICE,2014 COVER:OTHER,2014 COVER:CLOUDS/UNINTERPRETABLE
1,-78.85134889,-0.788412111,30.0,square,true,0,25,kcmccallum@fs.fed.us,,2019-02-15T04:11:22.273110,-78.85134889,-0.788412111,470,1091,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-79.8993116,0.298008355,30.0,square,false,0,25,kcmccallum@fs.fed.us,,2019-02-15T04:16:13.176851,-79.8993116,0.298008355,471,770,17,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
3,-78.25723736,-2.043819164,30.0,square,true,0,25,kcmccallum@fs.fed.us,,2019-02-15T04:17:32.502231,-78.25723736,-2.043819164,472,251,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-80.36669147,-2.522355479,30.0,square,false,0,25,kcmccallum@fs.fed.us,,2019-02-15T04:24:13.307898,-80.36669147,-2.522355479,473,1615,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,88.0,0.0,0.0,0.0
5,-79.88249844,-2.338315462,30.0,square,false,0,25,kcmccallum@fs.fed.us,,2019-02-15T04:26:55.343278,-79.88249844,-2.338315462,474,1207,22,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
6,-79.00528427,-1.98227083,30.0,square,false,0,25,kcmccallum@fs.fed.us,,2019-02-15T04:33:13.438862,-79.00528427,-1.98227083,475,1415,24,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,-78.46321387,-0.660751092,30.0,square,false,0,25,kcmccallum@fs.fed.us,,2019-02-15T04:47:32.971597,-78.46321387,-0.660751092,476,805,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
8,-79.21500073,0.320163628,30.0,square,false,0,25,kcmccallum@fs.fed.us,,2019-02-15T04:50:16.444634,-79.21500073,0.320163628,477,1930,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,-80.36458097,-0.501235255,30.0,square,false,0,25,kcmccallum@fs.fed.us,,2019-02-15T05:02:28.520292,-80.36458097,-0.501235255,478,1374,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
10,-80.2067308,-2.429723945,30.0,square,false,0,25,kcmccallum@fs.fed.us,,2019-02-15T05:06:49.139097,-80.2067308,-2.429723945,479,1578,26,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0
